HudongItem1,relation,HudongItem2
Ann,said to be the same as,安娜
房间,original language of film or TV show,英语
让·勒朗·达朗贝尔,native language,法语
让·勒朗·达朗贝尔,languages spoken written or signed,法语
让·勒朗·达朗贝尔,writing languages,法语
塞尔维亚,shares border with,匈牙利
罗马诺·普罗迪,languages spoken written or signed,意大利语
让·勒朗·达朗贝尔,occupation,哲学家
罗马诺·普罗迪,writing languages,意大利语
塞尔维亚,shares border with,保加利亚
罗马诺·普罗迪,occupation,经济学家
让·勒朗·达朗贝尔,occupation,物理学家
塞尔维亚,shares border with,北马其顿
诸葛亮,languages spoken written or signed,汉语
阿贾克斯足球俱乐部,location of formation,阿姆斯特丹
让·勒朗·达朗贝尔,occupation,作家
塞尔维亚,shares border with,克罗地亚
罗马诺·普罗迪,employer,博洛尼亚大学
罗马诺·普罗迪,employer,哈佛大学
阿贾克斯足球俱乐部,headquarters location,阿姆斯特丹
让·勒朗·达朗贝尔,occupation,工程师
诸葛亮,occupation,工程师
阿贾克斯足球俱乐部,sport,足球
让·勒朗·达朗贝尔,occupation,天文学家
塞尔维亚,shares border with,欧洲联盟
让·勒朗·达朗贝尔,field of work,数学
让·勒朗·达朗贝尔,field of work,力学
罗马诺·普罗迪,educated at,哈佛大学
罗马诺·普罗迪,work location,罗马
房间,narrative location,加拿大
让·勒朗·达朗贝尔,educated at,巴黎大学
罗马诺·普罗迪,religion,天主教
房间,Kijkwijzer rating,12
罗马诺·普罗迪,interested in,经济学
PowerVR,instance of,品牌
PowerVR,country,美国
金城武,sex or gender,男
苏州,country,中华人民共和国
命题,subclass of,句子
金城武,country of citizenship,日本
借,instance of,汉字
非金属元素,opposite of,金属
媚者无疆,original broadcaster,优酷网
Mena,country,美国
许嵩,sex or gender,男
战国,part of,春秋战国
媚者无疆,country of origin,中华人民共和国
许嵩,country of citizenship,中华人民共和国
金城武,languages spoken written or signed,日语
微软,instance of,商业
战国,followed by,秦朝
许嵩,occupation,歌手
阿尔弗雷德·冯·施利芬,sex or gender,男
李昊,sex or gender,男
世界之窗,country,中华人民共和国
欧阳靖,sex or gender,男
秦汉,sex or gender,男
Reader,main subject,第二次世界大战
金城武,occupation,歌手
权重,subclass of,函数
阿尔弗雷德·冯·施利芬,country of citizenship,德国
李昊,country of citizenship,宋朝
欧阳靖,country of citizenship,美国
氢,subclass of,非金属元素
中国社会科学院农村发展研究所,country,中华人民共和国
北斗卫星导航系统,country,中华人民共和国
许嵩,educated at,安徽医科大学
大学,genre,哲学
撒丁岛,country,意大利
清源村,country,中华人民共和国
张玉奎,country of citizenship,中华人民共和国
杰克·史密斯,sex or gender,男
微软模拟飞行,genre,飞行模拟游戏
阿尔弗雷德·冯·施利芬,noble title,伯爵
杰克·史密斯,country of citizenship,美国
微分学,studies,导数
我不是药神,country of origin,中华人民共和国
撒丁岛,located in the administrative territorial entity,意大利
阿尔弗雷德·冯·施利芬,place of birth,柏林
欧阳靖,occupation,歌手
智姓,writing system,汉字
汪德熙,country of citizenship,中华人民共和国
张青莲,country of citizenship,中华人民共和国
大学,author,孔子
微软模拟飞行,country of origin,法国
撒丁岛,located in or next to body of water,地中海
阿尔弗雷德·冯·施利芬,place of death,柏林
微软,industry,软件开发
特洛伊,country,美国
软件开发工具包,subclass of,计算机程序
张玉奎,employer,北京理工大学
我不是药神,director,文牧野
微软模拟飞行,language of work or name,英语
撒丁岛,located on terrain feature,撒丁岛
Reader,country of origin,德国
微软,founded by,比尔·盖茨
我不是药神,screenwriter,宁浩
大学,language of work or name,文言文
阿尔弗雷德·冯·施利芬,languages spoken written or signed,德语
Reader,country of origin,美国
微软,founded by,保罗·艾伦
张玉奎,educated at,南开大学
我不是药神,cast member,宁浩
Reader,original language of film or TV show,英语
Xfce,copyright license,GNU宽通用公共许可证
Reader,original language of film or TV show,希腊语
武装力量,has part,军种
杰克·史密斯,cause of death,艾滋病
氢,location of discovery,英国
微软,chief executive officer,比尔·盖茨
汪德熙,educated at,清华大学
杰克·史密斯,languages spoken written or signed,英语
氢,location of discovery,法国
微软模拟飞行,input method,鼠标
微软,board member,比尔·盖茨
微软,country,美国
微软,legal form,上市公司
微软,owned by,比尔·盖茨
微软,owned by,比尔·盖茨
撒丁岛,language used,意大利语
微软,subsidiary,Microsoft
Reader,narrative location,意大利
Reader,filming location,柏林
Reader,filming location,德国
Reader,filming location,科隆
微软,owner of,Mojang
微软,owner of,Xamarin
微软,owner of,Xbox
微软,owner of,Microsoft
微软,owner of,必应
微软,owner of,MSN
微软,owner of,微软开发者网络
微软,headquarters location,雷德蒙德
微软,stock exchange,纳斯达克
微软,product or material produced,Xbox
微软,product or material produced,必应
微软,product or material produced,硬件
微软,product or material produced,Xbox
实时操作系统,subclass of,操作系统
黎曼积分,named after,波恩哈德·黎曼
拉蒙·莫拉莱斯,sex or gender,男
Photo,field of work,摄影
刘玉浦,sex or gender,男
李若宁,country of citizenship,中华人民共和国
拉蒙·莫拉莱斯,country of citizenship,墨西哥
刘玉浦,country of citizenship,中华人民共和国
嘉士伯,instance of,商业
周度,sex or gender,男
中北大学,country,中华人民共和国
扎克·佩恩,sex or gender,男
拉蒙·莫拉莱斯,country for sport,墨西哥
博洛尼亚大学,country,意大利
嘉士伯,instance of,企业
周度,country of citizenship,明朝
扎克·佩恩,country of citizenship,美国
柔道家,subclass of,柔道家
穆恩之,country of citizenship,中华人民共和国
生物有机化学,subclass of,有机化学
银河奖,country,中华人民共和国
余华,sex or gender,男
凯恩斯主义,named after,约翰·梅纳德·凯恩斯
Photo,country of origin,法国
人工神经网络,subclass of,人工智能
理光,instance of,商业
生物有机化学,part of,有机化学
银河奖,conferred by,科幻世界
余华,country of citizenship,中华人民共和国
Priest,based on,Priest
Photo,language of work or name,法语
刘玉浦,member of political party,中国共产党
人工神经网络,subclass of,机器学习
理光,instance of,企业
扎克·佩恩,place of birth,纽约
拉蒙·莫拉莱斯,languages spoken written or signed,西班牙语
魔鬼出没的世界,country of origin,美国
南京邮电大学通达学院,country,中华人民共和国
杜塞尔多夫,official language,德语
魔鬼出没的世界,language of work or name,英语
南海,part of,太平洋
戴季陶,sex or gender,男
亚历山大·考尔德,sex or gender,男
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,sex or gender,男
吴全德,country of citizenship,中华人民共和国
葡萄,color,红色
理光,industry,电子学
穆恩之,educated at,国立西南联合大学
余华,languages spoken written or signed,汉语
南海,tributary,珠江
亚历山大·考尔德,country of citizenship,美国
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,country of citizenship,德国
中山大学,country,中华人民共和国
余华,occupation,作家
杜塞尔多夫,country,德国
吴全德,educated at,清华大学
且听风吟,country of origin,日本
理光,country,日本
龙骑士,country of origin,英国
且听风吟,language of work or name,日语
龙骑士,country of origin,美国
电子游戏,different from,游戏
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,noble title,伯爵
天外魔花,country of origin,美国
Priest,country of origin,美国
龙骑士,country of origin,匈牙利
亚历山大·考尔德,place of death,纽约
天外魔花,original language of film or TV show,英语
余华,notable work,活着
Priest,original language of film or TV show,英语
龙骑士,original language of film or TV show,英语
嘉士伯,country,丹麦
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,place of death,柏林
天外魔花,language of work or name,英语
嘉士伯,legal form,股份有限公司
拉蒙·莫拉莱斯,sport,足球
亚历山大·考尔德,languages spoken written or signed,英语
杜塞尔多夫,located in or next to body of water,莱茵河
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,languages spoken written or signed,德语
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,writing languages,德语
葡萄,different from,葡萄
戴季陶,languages spoken written or signed,汉语
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,occupation,作家
电子游戏,model item,超级马里奥兄弟
戴季陶,occupation,作家
电子游戏,model item,文明
戴季陶,religion,佛教
Priest,director of photography,唐·伯吉斯
理光,product or material produced,软件
赫尔穆特·卡尔·贝恩哈特·冯·毛奇,work location,柏林
博洛尼亚大学,language used,意大利语
Priest,narrative location,洛杉矶
Priest,filming location,洛杉矶
博洛尼亚大学,official color,红色
Priest,filming location,加利福尼亚州
天外魔花,narrative location,加利福尼亚州
嘉士伯,headquarters location,哥本哈根
南海,basin country,菲律宾
天外魔花,Kijkwijzer rating,12
嘉士伯,country of origin,丹麦
南海,basin country,越南
南海,basin country,马来西亚
南海,basin country,中华人民共和国
南海,country,越南
南海,country,马来西亚
南海,country,中华人民共和国
南海,country,菲律宾
杜塞尔多夫,twinned administrative body,莫斯科
多米尼克·蒂姆,sex or gender,男
多米尼克·蒂姆,country of citizenship,奥地利
姜文,sex or gender,男
丽贝卡·索尼,country of citizenship,美国
屈楚萧,sex or gender,男
底片,material used,底片
别林斯基,sex or gender,男
flash,instance of,媒体播放器
多米尼克·蒂姆,country for sport,奥地利
姜文,country of citizenship,中华人民共和国
丽贝卡·索尼,country for sport,美国
萨莫拉,country,西班牙
屈楚萧,country of citizenship,中华人民共和国
伊斯雷尔,language of work or name,西班牙语
熊梓淇,sex or gender,男
南开大学,country,中华人民共和国
Super,different from,Super
多米尼克·蒂姆,given name,多米尼克
科学家,field of this occupation,科学
熊梓淇,country of citizenship,中华人民共和国
Super,different from,Super
亚琛工业大学,country,德国
画心师,language of work or name,汉语
排中律,instance of,公理
18世纪,followed by,19世纪
flash,developer,Adobe
巴黎,instance of,省
亚琛工业大学,located in the administrative territorial entity,亚琛
愤怒的小鸟,derivative work,愤怒的小鸟
贝利珠,part of,日食
非洲,part of,地球
珠宝,country,马来西亚
姜文,sibling,姜武
伊斯雷尔,family name identical to this given name,伊斯雷尔
郑龙,sex or gender,男
Wi-Fi,subclass of,无线网络
Mohan,sex or gender,男
Neet,different from,Neet
范海辛,sex or gender,男
多米尼克·蒂姆,languages spoken written or signed,德语
伊斯雷尔,different from,以色列
郑龙,country of citizenship,中华人民共和国
Wi-Fi,named after,无线通讯
Mohan,country of citizenship,印度
现代主义,opposite of,流行文化
非洲,located on terrain feature,北半球
flash,operating system,Linux
熊梓淇,occupation,歌手
Wi-Fi,developer,Wi-Fi
丹麦社会民主党,country,丹麦
别林斯基,native language,俄语
Wi-Fi,opposite of,以太网
非洲,diplomatic relation,中华人民共和国
范海辛,occupation,医生
flash,operating system,Android
别林斯基,languages spoken written or signed,俄语
别林斯基,writing languages,俄语
flash,programming language,C++
姜文,occupation,歌手
别林斯基,occupation,哲学家
月蚀,different from,日食
非洲,shares border with,亚洲
巴黎,continent,欧洲
别林斯基,occupation,作家
郑龙,member of sports team,中国国家足球队
愤怒的小鸟,platform,iOS
范海辛,occupation,哲学家
巴黎,country,法国
郑龙,sport,足球
愤怒的小鸟,platform,Android
巴黎,country,法兰克王国
别林斯基,field of work,哲学
愤怒的小鸟,input method,鼠标
巴黎,country,法国
范海辛,residence,阿姆斯特丹
巴黎,capital of,法国
巴黎,capital of,法兰克王国
巴黎,twinned administrative body,罗马
巴黎,twinned administrative body,柏林
巴黎,twinned administrative body,芝加哥
矩尺座,instance of,星座
陆建艺,sex or gender,男
康柏,country,英国
罗干,sex or gender,男
手机软件,subclass of,软件
陆建艺,country of citizenship,中华人民共和国
萨克森,country,奥地利
大陆架,part of,大陆架
李春嫒,country of citizenship,中华人民共和国
罗干,country of citizenship,中华人民共和国
渲染,subclass of,技术
智能手环,subclass of,移动设备
辛亥革命,instance of,革命
电子科技大学中山学院,country,中华人民共和国
但丁·阿利吉耶里,sex or gender,男
QQ浏览器,developer,腾讯
RS-422,different from,RS-422
气候变化,language of work or name,英语
辛亥革命,country,中国
比利时,instance of,联邦制
李春嫒,occupation,歌手
穆德远,sex or gender,男
弹道导弹,subclass of,导弹
Zune,instance of,软件
比利时,instance of,国家
修改,subclass of,过程
中日甲午战争,location,朝鲜
郭广平,sex or gender,男
QQ浏览器,operating system,iOS
罗干,educated at,北京科技大学
诺顿,country,美国
QQ浏览器,operating system,Android
夏帆,country of citizenship,日本
修改,subclass of,个性化
罗干,member of political party,中国共产党
QQ浏览器,programming language,C++
比利时,official language,法语
比利时,official language,德语
修改,uses,产品
比利时,continent,欧洲
比利时,country,比利时
比利时,basic form of government,君主立宪制
但丁·阿利吉耶里,native language,意大利语
但丁·阿利吉耶里,languages spoken written or signed,意大利语
但丁·阿利吉耶里,languages spoken written or signed,拉丁语
但丁·阿利吉耶里,writing languages,意大利语
但丁·阿利吉耶里,writing languages,拉丁语
但丁·阿利吉耶里,occupation,哲学家
但丁·阿利吉耶里,occupation,作家
但丁·阿利吉耶里,educated at,博洛尼亚大学
比利时,diplomatic relation,卢森堡
比利时,diplomatic relation,意大利
但丁·阿利吉耶里,religion,天主教
比利时,diplomatic relation,德国
比利时,diplomatic relation,澳大利亚
比利时,diplomatic relation,乌克兰
比利时,diplomatic relation,法国
比利时,diplomatic relation,英国
比利时,diplomatic relation,加拿大
比利时,diplomatic relation,印度尼西亚
但丁·阿利吉耶里,influenced by,荷马
比利时,diplomatic relation,丹麦
比利时,diplomatic relation,乌拉圭
比利时,diplomatic relation,马来西亚
比利时,diplomatic relation,巴基斯坦
比利时,diplomatic relation,墨西哥
比利时,diplomatic relation,刚果民主共和国
比利时,diplomatic relation,美国
比利时,diplomatic relation,俄罗斯
比利时,diplomatic relation,印度
比利时,diplomatic relation,希腊
比利时,diplomatic relation,中华人民共和国
比利时,diplomatic relation,以色列
比利时,diplomatic relation,匈牙利
比利时,member of,欧洲联盟
比利时,member of,联合国
比利时,member of,北大西洋公约组织
比利时,member of,经济合作与发展组织
比利时,member of,欧洲委员会
比利时,member of,世界贸易组织
比利时,member of,国际开发协会
山西,language of work or name,日语
神经病学,subclass of,医学
李成宰,sex or gender,男
Personal,instance of,商业
臧一人,sex or gender,男
山西,different from,山西
笔架山公园,country,中华人民共和国
Personal,instance of,企业
光纤信道,instance of,介质
David,sex or gender,男
李广田,sex or gender,男
重庆县,country,越南
谷歌地图,developer,Google
布尔巴基学派,languages spoken written or signed,法语
Personal,country,阿根廷
奥斯曼,different from,奥斯曼
臧一人,occupation,歌手
谷歌地图,platform,Android
有机化学,studies,有机化合物
Personal,legal form,股份有限公司
谷歌地图,platform,iOS
布尔巴基学派,country,法国
Perfect,language of work or name,英语
耶鲁大学,country,美国
David,place of death,耶路撒冷
李广田,educated at,北京大学
朝鲜王朝,official language,文言文
朝鲜王朝,continent,亚洲
朝鲜王朝,country,朝鲜王朝
朝鲜王朝,location,朝鲜半岛
比利时,member of,国际电信联盟
比利时,member of,世界气象组织
朝鲜王朝,religion,佛教
比利时,contains administrative territorial entity,瓦隆
比利时,currency,欧元
David,occupation,作家
比利时,shares border with,德国
比利时,shares border with,卢森堡
比利时,shares border with,法国
比利时,language used,卢森堡语
比利时,language used,德语
比利时,language used,法语
可口可乐,instance of,品牌
大卫·汤普森,sex or gender,男
余承东,sex or gender,男
软件设计,part of,软件开发
运动学,subclass of,经典力学
大卫·汤普森,country of citizenship,美国
余承东,country of citizenship,中华人民共和国
可口可乐,subclass of,可乐
大卫·汤普森,country for sport,美国
英国广播公司,instance of,商业
洪门剑灵传说,country of origin,日本
塞尔维亚和黑山,continent,欧洲
量子化,facet of,量子力学
洪门剑灵传说,original language of film or TV show,日语
余承东,languages spoken written or signed,英语
圣战,instance of,歌曲
腾讯音乐娱乐集团,instance of,公司
蒂罗尔州,country,奥地利
可口可乐,country of origin,美国
诗言志辨,language of work or name,汉语
刘北辰,sex or gender,男
英国广播公司,industry,广播
异体字,subclass of,汉字
王琳,country of citizenship,中华人民共和国
刘北辰,country of citizenship,中华人民共和国
蒂罗尔州,located in the administrative territorial entity,奥地利
洪门剑灵传说,production company,GONZO
苏轼,sex or gender,男
决策,has quality,心态
王琳,country for sport,中华人民共和国
余承东,educated at,清华大学
看,instance of,汉字
异体字,opposite of,正体字
阿勒曼尼语,instance of,方言
圣战,country of origin,美国
腾讯音乐娱乐集团,product or material produced,QQ音乐
王琳,place of birth,中华人民共和国
第一批简体字表,language of work or name,汉语
腾讯音乐娱乐集团,product or material produced,酷狗音乐
刘北辰,member of political party,中国共产党
分子,studied by,分子生物学
一千零一夜,country of origin,中东
阿勒曼尼语,country,奥地利
阿勒曼尼语,country,德国
分子,has quality,分子结构
阿勒曼尼语,country,意大利
英国广播公司,country,英国
塞尔维亚和黑山,currency,欧元
塞尔维亚和黑山,shares border with,欧洲联盟
张信哲,sex or gender,男
阿勒曼尼语,country,法国
阿勒曼尼语,country,瑞士
塞尔维亚和黑山,replaced by,塞尔维亚
阿勒曼尼语,dialect of,德语
分子,has part,原子
张信哲,occupation,歌手
分子,has part,共价键
张信哲,religion,新教
苏轼,languages spoken written or signed,汉语
马来西亚,instance of,国家
苏轼,occupation,作家
蒂罗尔州,shares border with,巴伐利亚
光明区,country,中华人民共和国
福州大学,country,中华人民共和国
马来西亚,continent,亚洲
马来西亚,country,马来西亚
马来西亚,capital,吉隆坡
马来西亚,lowest point,印度洋
马来西亚,basic form of government,君主立宪制
马来西亚,diplomatic relation,加拿大
马来西亚,diplomatic relation,德国
马来西亚,diplomatic relation,澳大利亚
马来西亚,diplomatic relation,印度尼西亚
马来西亚,diplomatic relation,新加坡
马来西亚,diplomatic relation,乌克兰
马来西亚,diplomatic relation,老挝
马来西亚,diplomatic relation,毛里求斯
马来西亚,diplomatic relation,纳米比亚
马来西亚,diplomatic relation,乌干达
马来西亚,diplomatic relation,苏丹
马来西亚,diplomatic relation,英国
马来西亚,diplomatic relation,苏联
马来西亚,diplomatic relation,挪威
马来西亚,diplomatic relation,乌兹别克斯坦
马来西亚,diplomatic relation,西班牙
马来西亚,diplomatic relation,瑞典
马来西亚,diplomatic relation,瑞士
马来西亚,diplomatic relation,秘鲁
马来西亚,diplomatic relation,欧洲联盟
马来西亚,diplomatic relation,新西兰
马来西亚,diplomatic relation,所罗门群岛
马来西亚,diplomatic relation,比利时
马来西亚,diplomatic relation,哥伦比亚
马来西亚,diplomatic relation,智利
马来西亚,diplomatic relation,丹麦
马来西亚,diplomatic relation,肯尼亚
马来西亚,diplomatic relation,匈牙利
马来西亚,diplomatic relation,巴西
马来西亚,diplomatic relation,牙买加
马来西亚,diplomatic relation,法国
马来西亚,diplomatic relation,哈萨克斯坦
马来西亚,diplomatic relation,埃及
马来西亚,diplomatic relation,捷克
马来西亚,diplomatic relation,立陶宛
马来西亚,diplomatic relation,阿尔及利亚
马来西亚,diplomatic relation,埃塞俄比亚
马来西亚,diplomatic relation,巴基斯坦
马来西亚,diplomatic relation,叙利亚
马来西亚,diplomatic relation,泰国
马来西亚,diplomatic relation,越南
马来西亚,diplomatic relation,坦桑尼亚
马来西亚,diplomatic relation,菲律宾
马来西亚,diplomatic relation,墨西哥
马来西亚,diplomatic relation,美国
马来西亚,diplomatic relation,俄罗斯
马来西亚,diplomatic relation,中华人民共和国
马来西亚,diplomatic relation,希腊
马来西亚,diplomatic relation,印度
马来西亚,diplomatic relation,日本
马来西亚,member of,联合国
马来西亚,member of,世界贸易组织
马来西亚,member of,亚太经济合作组织
马来西亚,member of,国际开发协会
马来西亚,member of,国际电信联盟
马来西亚,member of,世界气象组织
马来西亚,contains administrative territorial entity,吉隆坡
马来西亚,shares border with,泰国
马来西亚,shares border with,印度尼西亚
马来西亚,shares border with,新加坡
马来西亚,shares border with,菲律宾
马来西亚,language used,英语
马来西亚,language used,英语
英国广播公司,product or material produced,广播
马来西亚,language used,粤语
常州大学,country,中华人民共和国
蒙蒂,country of origin,意大利
激光器,product or material produced,激光
蒙蒂,language of work or name,意大利语
桂林,sex or gender,男
黄龙云,sex or gender,男
花花世界,country of origin,美国
配位化合物,studied by,配位化学
技术支持,subclass of,服务
桂林,country of citizenship,宋朝
黄龙云,country of citizenship,中华人民共和国
花花世界,original language of film or TV show,英语
信阳师范学院,country,中华人民共和国
西安建筑科技大学,country,中华人民共和国
王俊生,sex or gender,男
Hunter,part of,Hunter
新生代,follows,中生代
海尔维第共和国,continent,欧洲
中文,country,中华人民共和国
句子成分,part of,句子
Hunter,language of work or name,英语
王俊生,sport,足球
海尔维第共和国,capital,卢塞恩
基特峰国家天文台,country,美国
Magic,different from,Magic
海尔维第共和国,capital,伯尔尼
中文,linguistic typology,分析语
闫妮,country of citizenship,中华人民共和国
月球,named after,光
王濛,country of citizenship,中华人民共和国
黄龙云,member of political party,中国共产党
中文,writing system,汉字
钱玄同,sex or gender,男
西安外国语大学,country,中华人民共和国
吕鹏,sex or gender,男
工作室,subclass of,工作室
兰州理工大学,country,中华人民共和国
利物浦,country,英国
Tamara,family name identical to this given name,Tamara
吕鹏,country of citizenship,中华人民共和国
BQQ,country,巴西
周惠久,country of citizenship,中华人民共和国
月球,parent astronomical body,地球
刘柏辛,occupation,歌手
庞加莱猜想,proved by,格里戈里·佩雷尔曼
Tamara,different from,Tamara
中文,writing system,简化字
南京航空航天大学,country,中华人民共和国
南怀仁,sex or gender,男
网上银行,subclass of,银行
汤用彤,sex or gender,男
海尔维第共和国,language used,瑞士德语
多瑙河,instance of,河流
古印度,facet of,印度
南怀仁,country of citizenship,明朝
汤用彤,country of citizenship,中华人民共和国
任达华,sex or gender,男
信息时报,country of origin,中华人民共和国
彭于晏,sex or gender,男
周惠久,educated at,西南交通大学
海尔维第共和国,language used,意大利语
短剑,country of origin,美国
surface,different from,surface
黄渤,sex or gender,男
弗里德里希·维勒,sex or gender,男
任达华,country of citizenship,中华人民共和国
彭于晏,country of citizenship,加拿大
短剑,original language of film or TV show,英语
黄渤,country of citizenship,中华人民共和国
弗里德里希·维勒,country of citizenship,神圣罗马帝国
斯蒂芬,said to be the same as,斯蒂芬
多瑙河,tributary,因河
利物浦,twinned administrative body,都柏林
彭于晏,unmarried partner,蔡依林
钱玄同,employer,北京大学
吕鹏,member of sports team,中国国家足球队
汤用彤,occupation,哲学家
利物浦,twinned administrative body,鹿特丹
南怀仁,languages spoken written or signed,拉丁语
利物浦,twinned administrative body,科隆
彭于晏,occupation,歌手
南怀仁,languages spoken written or signed,汉语
汤用彤,employer,北京大学
利物浦,twinned administrative body,里约热内卢
弗里德里希·维勒,languages spoken written or signed,德语
弗里德里希·维勒,writing languages,德语
南怀仁,occupation,天文学家
汤用彤,educated at,清华大学
南怀仁,occupation,祭司
汤用彤,educated at,哈佛大学
任达华,permanent resident of,香港
火星,different from,行星
弗里德里希·维勒,member of,瑞典皇家科学院
南怀仁,religion,天主教
花花世界,narrative location,纽约
南怀仁,religious order,耶稣会
花花世界,filming location,纽约
斯蒂芬,said to be the same as,斯蒂芬
盐田区,country,中华人民共和国
仰望星空,country of origin,中华人民共和国
深圳地铁,country,中华人民共和国
郭承基,country of citizenship,中华人民共和国
rm,country,瑞士
水能,subclass of,可再生能源
一起来看流星雨,country of origin,中华人民共和国
免费软件,different from,自由软件
女生,different from,Girl
太原工业学院,country,中华人民共和国
读者文摘,country,美国
郭承基,educated at,北京大学
卡尔·马克思,sex or gender,男
中国民用航空局,country,中华人民共和国
神经科学,instance of,科学
王世真,sex or gender,男
化学性质,studied by,材料科学
主板,subclass of,硬件
齐鲁工业大学,country,中华人民共和国
中国民用航空局,airline hub,北京首都国际机场
女生,different from,Girl
神经科学,subclass of,医学
美国国会,country,美国
读者文摘,place of publication,纽约
开放源代码,instance of,软件开发
基带,has quality,带宽
王世真,country of citizenship,中华人民共和国
女生,different from,Girl
神经科学,part of,医学
美国国会,applies to jurisdiction,美国
读者文摘,country of origin,美国
深圳地铁,has part,深圳地铁1号线
刘嘉玲,country of citizenship,香港
中国民用航空局,parent organization,中华人民共和国交通运输部
女生,different from,Girl
番茄,this taxon is source of,番茄
神经科学,part of,心理学
读者文摘,language of work or name,英语
虚电路,different from,电路交换
蒋方舟,occupation,作家
刘嘉玲,country of citizenship,加拿大
女生,different from,Girl
神经科学,part of,生物学
读者文摘,language of work or name,法语
KDE,use,自由软件
虚电路,OSI Model layer location,数据链路层
Fight,country of origin,美国
蒋方舟,educated at,清华大学
神经科学,part of,机器人学
虚电路,OSI Model layer location,网络层
Born,located in the administrative territorial entity,Born
王世真,occupation,医生
匹兹堡,country,美国
神经科学,part of,信息技术
虚电路,OSI Model layer location,传输层
神经科学,part of,计算机科学
王世真,educated at,清华大学
刘嘉玲,occupation,歌手
神经科学,has part,神经生理学
主板,has part,中央处理器
卡尔·马克思,native language,德语
卡尔·马克思,languages spoken written or signed,德语
卡尔·马克思,writing languages,德语
卡尔·马克思,occupation,经济学家
卡尔·马克思,occupation,哲学家
卡尔·马克思,occupation,作家
卡尔·马克思,field of work,经济学
卡尔·马克思,field of work,哲学
卡尔·马克思,residence,柏林
卡尔·马克思,residence,巴黎
亚纯函数,subclass of,函数
卡尔·马克思,work location,科隆
傅菁,part of,火箭少女101
祖安,sex or gender,男
祖安,country of citizenship,马来西亚
喷气式飞机,has quality,喷气发动机
Walker,sex or gender,男
卢卡斯·波多尔斯基,sex or gender,男
北极圈,country,挪威
傅菁,country of citizenship,中华人民共和国
吕洞宾,part of,八仙
中国光大银行,instance of,商业
CSS3,instance of,基因
卢卡斯·波多尔斯基,country of citizenship,德国
高雨儿,country of citizenship,中华人民共和国
北极圈,country,瑞典
吕洞宾,sex or gender,男
高等教育,subclass of,高等教育
孙坚,sex or gender,男
河南理工大学,country,中华人民共和国
中国光大银行,country,中华人民共和国
Walker,country of citizenship,英国
愚人节,location,英国
卢卡斯·波多尔斯基,country of citizenship,波兰
文明,subclass of,社会
孙坚,country of citizenship,东汉
中国光大银行,legal form,股份有限公司
卢卡斯·波多尔斯基,country for sport,德国
北极圈,country,俄罗斯
钟表馆幽灵,country of origin,日本
傅菁,occupation,歌手
迪丽热巴,occupation,歌手
卡尔·马克思,notable work,资本论
龙华区,country,中华人民共和国
白凯南,sex or gender,男
津南区,country,中华人民共和国
高等教育,part of,教育制度
愚人节,location,法国
北极圈,country,美国
钟表馆幽灵,language of work or name,日语
Interbrand,instance of,商业
淘宝网,industry,电子商务
中国好声音,country of origin,中华人民共和国
愚人节,location,意大利
北极圈,country,加拿大
姜超,sex or gender,男
艾丽丝,language of work or name,法语
基因,part of,染色体
愚人节,location,葡萄牙
吕洞宾,religion,道教
布里恩茨湖,basin country,瑞士
艾丽丝,language of work or name,英语
洛迦诺,official language,意大利语
中国好声音,filming location,中华人民共和国
愚人节,location,德国
洛迦诺,country,瑞士
SD卡,developer,东芝
淘宝网,country,中华人民共和国
布里恩茨湖,country,瑞士
艾丽丝,language of work or name,意大利语
基因,encodes,蛋白质
淘宝网,owned by,阿里巴巴集团
淘宝网,parent organization,阿里巴巴集团
愚人节,location,比利时
卢卡斯·波多尔斯基,languages spoken written or signed,德语
流星花园,country of origin,日本
愚人节,location,波兰
淘宝网,language of work or name,汉语
流星花园,original language of film or TV show,日语
愚人节,location,丹麦
流星花园,language of work or name,日语
愚人节,location,瑞典
中国好声音,different from,中国好声音
愚人节,location,挪威
愚人节,location,美国
愚人节,location,澳大利亚
愚人节,location,巴西
卢卡斯·波多尔斯基,league,德国足球甲级联赛
愚人节,location,日本
卢卡斯·波多尔斯基,league,英格兰足球超级联赛
卢卡斯·波多尔斯基,member of sports team,拜仁慕尼黑足球俱乐部
卢卡斯·波多尔斯基,sport,足球
多瑙河,basin country,德国
多瑙河,continent,欧洲
多瑙河,country,德国
多瑙河,country,奥地利
多瑙河,country,斯洛伐克
多瑙河,country,匈牙利
多瑙河,country,克罗地亚
多瑙河,country,塞尔维亚
多瑙河,country,保加利亚
多瑙河,country,乌克兰
鹿晗,sex or gender,男
鹿晗,country of citizenship,中华人民共和国
营业收入,subclass of,收入
style,subclass of,风格
千千音乐,instance of,商业
鹿晗,languages spoken written or signed,汉语
司马法,part of the series,武经七书
李紫婷,part of,火箭少女101
营业收入,different from,利润
鹿晗,occupation,歌手
小熊座流星雨,instance of,流星雨
千千音乐,country,中华人民共和国
