HudongItem,relation,NewNode
火星,child astronomical body,火卫二
多瑙河,tributary,德拉瓦河
南怀仁,place of burial,滕公栅栏
钱玄同,educated at,早稻田大学
王濛,participant in,Short track speed skating at the 2006 Winter Olympics – Women's 1500 metres
花花世界,cast member,Shelby Grant
斯蒂芬,said to be the same as,史蒂芬
黄渤,occupation,电视演员
弗里德里希·维勒,place of death,哥廷根
任达华,occupation,演员
彭于晏,occupation,电影演员
短剑,cast member,寇特·罗素
火星,parent astronomical body,太阳
多瑙河,tributary,伊萨尔河
汤用彤,occupation,历史学家
王濛,participant in,Short track speed skating at the 2010 Winter Olympics – Women's 3000 metre relay
花花世界,cast member,George Sawaya
斯蒂芬,said to be the same as,Staffan
黄渤,educated at,北京电影学院
弗里德里希·维勒,place of burial,城市公墓
任达华,occupation,电影导演
短剑,cast member,莎拉露玛
火星,flag,火星旗
多瑙河,tributary,莱希河
花花世界,cast member,Romo Vincent
斯蒂芬,said to be the same as,Steponas
黄渤,award received,金马奖最佳男主角
任达华,occupation,电影演员
彭于晏,occupation,模特儿
短剑,cast member,切维·切斯
火星,notation,火星符号
多瑙河,tributary,里斯河
南怀仁,languages spoken written or signed,荷兰语
汤用彤,member of,中国科学院哲学社会科学部
利物浦,award received,Konrad Adenauer Award
花花世界,cast member,格雷迪·萨顿
斯蒂芬,said to be the same as,Szczepan
黄渤,award received,亚洲电影大奖最佳男配角
任达华,occupation,电影制片人
彭于晏,educated at,不列颠哥伦比亚大学
短剑,cast member,扎克·布拉夫
火星,geography of topic,火星地理
多瑙河,tributary,Westernach
利物浦,described by source,布罗克豪斯-艾佛隆百科词典
花花世界,executive producer,霍华德·W·科奇
斯蒂芬,said to be the same as,斯特凡 (男性人名)
黄渤,award received,Early Career Life Scientist Award
弗里德里希·维勒,occupation,化学家
任达华,occupation,电视演员
彭于晏,blood type,AB
短剑,cast member,戴克斯·夏普德
火星,history of topic,火星观测历史
多瑙河,tributary,奥尔特河
利物浦,different from,Liverpool
花花世界,director of photography,威廉·丹尼斯
斯蒂芬,said to be the same as,Stefen
弗里德里希·维勒,occupation,大学教员
彭于晏,instrument,声乐
短剑,cast member,伊森·索普
火星,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
多瑙河,tributary,阿尔杰什河
南怀仁,occupation,数学家
利物浦,topic's main category,Category:利物浦
花花世界,film editor,Frank P. Keller
斯蒂芬,said to be the same as,斯特芬
弗里德里希·维勒,occupation,生物化学家
短剑,cast member,迈克尔·欧文·罗森巴姆
火星,described by source,布罗克豪斯-艾佛隆百科词典
多瑙河,tributary,锡雷特河
南怀仁,occupation,instrument maker
利物浦,category of associated people,Category:利物浦人
花花世界,production designer,罗兰·安德森
斯蒂芬,said to be the same as,Steeve
弗里德里希·维勒,field of work,化学
短剑,cast member,史蒂夫·琼斯
火星,described by source,俄语详解词典
多瑙河,tributary,鲁塞洛姆河
南怀仁,employer,北京古观象台
利物浦,category for people born here,Category:Births in Liverpool
花花世界,costume designer,伊迪丝·赫德
斯蒂芬,said to be the same as,Stepas
弗里德里希·维勒,employer,哥廷根大学
短剑,director of photography,丹尼尔·明德尔
火星,has part,火星大气层
多瑙河,tributary,普鲁特河
南怀仁,position held,Mandarin
利物浦,category for people who died here,Category:Deaths in Liverpool
花花世界,composer,纳尔逊·里德尔
斯蒂芬,said to be the same as,斯蒂夫
弗里德里希·维勒,member of,皇家学会
短剑,composer,Hardkiss
多瑙河,tributary,Weihung
南怀仁,educated at,塞维利亚大学
利物浦,category of people buried here,Category:Burials in Liverpool
花花世界,producer,霍华德·W·科奇
斯蒂芬,said to be the same as,艾蒂安 (名字)
短剑,color,彩色
火星,different from,3月
多瑙河,tributary,莱比河
南怀仁,educated at,Old University of Leuven
利物浦,category for films shot at this location,Category:Films shot in Liverpool
花花世界,producer,诺曼·李尔
斯蒂芬,said to be the same as,斯特凡诺斯
弗里德里希·维勒,member of,哥廷根科学院
短剑,has quality,passes the Bechdel Test
火星,different from,玛尔斯
多瑙河,tributary,金茨河
南怀仁,educated at,Jezuïetencollege
利物浦,category for maps,Category:Maps of Liverpool
花花世界,distributed by,派拉蒙电影公司
斯蒂芬,said to be the same as,斯蒂芬 (男性人名)
弗里德里希·维勒,member of,Saint Petersburg Academy of Sciences
火星,different from,马尔
多瑙河,tributary,罗特河 (多瑙河右支流)
南怀仁,work location,北京市
利物浦,historic county,Lancashire
花花世界,after a work by,尼尔·赛门
斯蒂芬,said to be the same as,施特夫
弗里德里希·维勒,member of,匈牙利科学院
火星,different from,马尔
多瑙河,tributary,比伯河
斯蒂芬,said to be the same as,斯戴凡 (名字)
弗里德里希·维勒,member of,美国文理科学院
火星,topic's main Wikimedia portal,Portal:火星
多瑙河,tributary,莱塔河
斯蒂芬,said to be the same as,伊斯特万
弗里德里希·维勒,member of,巴伐利亚科学与人文学院
火星,topic's main category,Category:火星
多瑙河,tributary,摩拉瓦河
南怀仁,described by source,德国通用传记
花花世界,aspect ratio,2.35:1
斯蒂芬,said to be the same as,斯蒂恩
弗里德里希·维勒,member of,俄罗斯科学院
火星,on focus list of Wikimedia project,Wikipedia:基础条目
多瑙河,tributary,Erlauf
南怀仁,described by source,Obalky knih.cz
花花世界,color,彩色
斯蒂芬,said to be the same as,Esteve
弗里德里希·维勒,member of,普鲁士科学院
火星,Wikimedia outline,outline of Mars
多瑙河,tributary,莱茵河-美因河-多瑙河运河
南怀仁,has works in the collection,北京古观象台
花花世界,nominated for,Academy Award for Best Art Direction Color
斯蒂芬,said to be the same as,Stefāno
弗里德里希·维勒,member of,利奥波第那科学院
火星,category for maps,Category:Maps of Mars
多瑙河,tributary,伊勒河
南怀仁,copyright status as a creator,作品着作权期限已届满
花花世界,FSK film rating,FSK 16
弗里德里希·维勒,member of,国立医学科学院
多瑙河,tributary,Schutter
斯蒂芬,attested in,frequency of first names in the Netherlands 2010
弗里德里希·维勒,member of,Academy of Sciences of Turin
多瑙河,tributary,拉布河
弗里德里希·维勒,member of,荷兰皇家艺术和科学会
多瑙河,tributary,克雷姆斯河 (下奥地利州)
弗里德里希·维勒,member of,美国国家科学院
多瑙河,tributary,瓦赫河
弗里德里希·维勒,award received,科普利奖章
多瑙河,tributary,大摩拉瓦河
弗里德里希·维勒,award received,Pour le Mérite for Sciences and Arts
多瑙河,tributary,赫龙河
弗里德里希·维勒,award received,Cothenius Medal
多瑙河,tributary,蒂米什河
弗里德里希·维勒,award received,巴伐利亚马克西米兰科学与艺术勳章
多瑙河,tributary,扬特拉河
弗里德里希·维勒,award received,Knight of the Legion of Honour
多瑙河,tributary,恩斯河
弗里德里希·维勒,award received,Foreign Member of the Royal Society
多瑙河,tributary,伊斯克尔河
弗里德里希·维勒,educated at,马尔堡大学
多瑙河,tributary,楚萨姆河
弗里德里希·维勒,educated at,海德堡大学
多瑙河,tributary,Zwiefalter Aach
弗里德里希·维勒,academic degree,博士学位
多瑙河,tributary,沃尔法赫河
弗里德里希·维勒,doctoral advisor,里欧波得·甘末林
多瑙河,tributary,伊布斯河
弗里德里希·维勒,doctoral advisor,永斯·贝采利乌斯
多瑙河,tributary,Aschach
弗里德里希·维勒,doctoral student,阿道夫·威廉·赫尔曼·科尔贝
多瑙河,tributary,伊尔茨河
弗里德里希·维勒,doctoral student,Georg Ludwig Carius
多瑙河,tributary,坎普河
弗里德里希·维勒,doctoral student,Carl Schmidt
多瑙河,tributary,Schwechat River
弗里德里希·维勒,doctoral student,Georg Städeler
多瑙河,tributary,布里加赫河
弗里德里希·维勒,doctoral student,威廉·屈内
多瑙河,tributary,布雷格河
弗里德里希·维勒,doctoral student,海因里希·林普利特
多瑙河,tributary,雷根河
弗里德里希·维勒,described by source,Great Soviet Encyclopedia (1969–1978)
多瑙河,tributary,阿尔特米尔河
弗里德里希·维勒,described by source,亚美尼亚苏维埃百科全书
多瑙河,tributary,阿本斯河
弗里德里希·维勒,described by source,布罗克豪斯-艾佛隆百科词典
多瑙河,tributary,Ablach
弗里德里希·维勒,described by source,德国通用传记
多瑙河,tributary,艾特拉赫河
弗里德里希·维勒,described by source,Great Encyclopedia of Cyril and Methodius
多瑙河,tributary,Aist
弗里德里希·维勒,described by source,BEIC Digital Library
多瑙河,tributary,Aitrach
弗里德里希·维勒,described by source,Obalky knih.cz
多瑙河,tributary,劳赫特河
多瑙河,tributary,施瓦策拉伯河
多瑙河,tributary,Bära
多瑙河,tributary,日乌河
多瑙河,tributary,菲莎河
多瑙河,tributary,布劳河
多瑙河,tributary,施穆特河
多瑙河,tributary,弗里德贝格阿赫河
多瑙河,tributary,Nera River
多瑙河,tributary,大拉伯河
多瑙河,tributary,特劳恩河
多瑙河,tributary,Melk
多瑙河,tributary,武卡河
多瑙河,tributary,帕尔河
多瑙河,tributary,韦代亚河
多瑙河,tributary,特赖森河
多瑙河,tributary,多瑙运河
多瑙河,tributary,维也纳河
多瑙河,tributary,纳布河
多瑙河,tributary,雅洛米察河
多瑙河,tributary,Schmiech
多瑙河,tributary,明德尔河
多瑙河,tributary,盖萨河
多瑙河,tributary,金萨赫河
多瑙河,tributary,菲尔斯河
多瑙河,tributary,沃尔尼茨河
多瑙河,tributary,Jasenička
多瑙河,tributary,奥瑟姆河
多瑙河,tributary,Biberbach
多瑙河,tributary,伊波伊河
多瑙河,tributary,蒂莫克河
多瑙河,tributary,Braunsel
多瑙河,tributary,Aranyhegyi-patak
多瑙河,tributary,Pielach
多瑙河,tributary,布伦茨河
多瑙河,tributary,Cerna (Danube)
多瑙河,tributary,Rábca
多瑙河,tributary,因巴赫河
多瑙河,tributary,ysper
多瑙河,tributary,瑙河
多瑙河,tributary,Gusen
多瑙河,tributary,Lauter
多瑙河,tributary,Cuha
多瑙河,tributary,Sió
多瑙河,tributary,Karaš
多瑙河,tributary,凯瑟尔河
多瑙河,tributary,Călmățui River
多瑙河,tributary,Donaugraben
多瑙河,tributary,Wiesent
多瑙河,tributary,埃尔劳河
多瑙河,tributary,埃高河
多瑙河,tributary,Pek
多瑙河,tributary,埃尔塔河
多瑙河,tributary,Naarn
多瑙河,tributary,Mlava
多瑙河,tributary,Által-ér
多瑙河,tributary,Gießenbach
多瑙河,tributary,格勒特河
多瑙河,tributary,Großer Kösslbach
多瑙河,tributary,Hengersberger Ohe
多瑙河,tributary,Sarmingbach
多瑙河,tributary,Mailinger Bach
多瑙河,tributary,Ostrach
多瑙河,tributary,Stille Musel
多瑙河,tributary,Kanzach
多瑙河,tributary,Kelsbach
多瑙河,tributary,Kleine Donau
多瑙河,tributary,Kleine Mühl
多瑙河,tributary,小奥厄河 (多瑙河支流)
多瑙河,tributary,维特河
多瑙河,tributary,Klosterbach
多瑙河,tributary,Krähenbach
多瑙河,tributary,Kötach
rm,instance of,语言
免费软件,instance of,许可
多瑙河,tributary,Otterbach
rm,instance of,现代语言
免费软件,subclass of,专有软件
电场强度,instance of,表示式
水能,instance of,发电
盐田区,instance of,中国的区
形象,instance of,维基媒体消歧义页
电路,subclass of,网络
一起来看流星雨,instance of,电视节目系列
多瑙河,tributary,Vydrica
rm,instance of,危险语言
免费软件,copyright license,最终用户许可协议
电场强度,subclass of,向量场
水能,instance of,经济部门
电路,studied by,theory of electrical networks
一起来看流星雨,based on,流星花园
多瑙河,tributary,Perschling river
压强,subclass of,国际量制导出量
读者文摘,instance of,杂志
深圳地铁,instance of,地铁
军服,subclass of,制服
郭承基,instance of,人类
KDE,instance of,自由软体社群
rm,subclass of,列托-罗曼斯语
免费软件,opposite of,商业软件
电场强度,subclass of,场
水能,subclass of,水力资源
盐田区,capital,海山街道
电路,has part,电力元件
一起来看流星雨,original broadcaster,湖南卫视
多瑙河,tributary,阿尔恰尔河
压强,subclass of,标量
读者文摘,founded by,德威特·华莱士
军服,subclass of,military personal equipment
KDE,instance of,非营利组织
卡尔·马克思,instance of,人类
免费软件,different from,freely redistributable software
电场强度,topic's main category,Category:Electric field
盐田区,located in the administrative territorial entity,深圳市
电路,has part,负载
多瑙河,tributary,Pfatter
诺,instance of,姓氏
中国民用航空局,instance of,民用航空管理部门
女生,instance of,维基媒体消歧义页
番茄,instance of,生物分类单元
神经科学,instance of,学科
太原工业学院,instance of,理工学院
微型计算机,subclass of,电子计算机
压强,subclass of,物理量
读者文摘,founded by,Lila Bell Wallace
深圳地铁,located in the administrative territorial entity,深圳市
军服,described by source,布罗克豪斯-艾佛隆百科词典
郭承基,member of,中国科学院地学部
KDE,named after,通用桌面环境
卡尔·马克思,part of,Marx siblings
rm,located in the administrative territorial entity,格劳宾登州
水能,part of,能源工业
盐田区,contains administrative territorial entity,梅沙街道
电路,permanent duplicated item,current circuit
多瑙河,tributary,兰纳河 (多瑙河支流)
诺,language of work or name,斯洛文尼亚语
中国民用航空局,instance of,航空公司
番茄,taxon rank,种
神经科学,instance of,学术专业
微型计算机,topic's main category,Category:微电脑
美国国会,instance of,两院制议会
压强,subclass of,内含属性
深圳地铁,member of,国际地铁联盟
军服,described by source,布罗克豪斯-艾佛隆百科词典
KDE,founded by,马蒂亚斯·埃特里希
rm,studied by,Societad Retorumantscha
免费软件,topic's main category,Category:免费软件
水能,described by source,亚美尼亚苏维埃百科全书
盐田区,contains administrative territorial entity,盐田街道
电路,topic's main category,Category:电力电路
多瑙河,tributary,Rodl River
基带,subclass of,信号
王世真,instance of,人类
蒋方舟,instance of,人类
匹兹堡,instance of,宾夕法尼亚州的城市
化学性质,subclass of,材料性质
主板,subclass of,system board
齐鲁工业大学,instance of,大学
诺,writing system,拉丁文字
女生,different from,女孩哦
番茄,parent taxon,茄属
太原工业学院,located in the administrative territorial entity,太原市
美国国会,part of,美国联邦政府
压强,subclass of,areal quantity
读者文摘,has edition,Selezione dal Reader's Digest
深圳地铁,operator,深圳市地铁集团有限公司
军服,topic's main category,Category:军服
KDE,subsidiary,KDE Women
卡尔·马克思,country of citizenship,普鲁士王国
rm,linguistic typology,主谓宾结构
水能,different from,水力资源
盐田区,contains administrative territorial entity,沙头角街道
多瑙河,tributary,罗特河
基带,has quality,截止频率
蒋方舟,sex or gender,女
匹兹堡,instance of,县城
刘嘉玲,instance of,人类
诺,has quality,name without diacritical marks
番茄,taxon synonym,Lycopersicon esculentum
压强,calculated from,力
深圳地铁,operator,港铁轨道交通（深圳）
KDE,mascot,Konqi
卡尔·马克思,given name,Karl
rm,linguistic typology,syllabic language
水能,topic's main category,Category:水力发电
盐田区,contains administrative territorial entity,海山街道
多瑙河,tributary,Rußbach
窄轨,subclass of,铁路线
虚电路,subclass of,连接导向式通讯
Fight,instance of,乐队
Born,instance of,村
日用品,subclass of,可感知对象
蒋方舟,family name,蒋
匹兹堡,instance of,大城市
化学性质,has cause,电子层
主板,part of,电子计算机
齐鲁工业大学,located in the administrative territorial entity,济南市
刘嘉玲,sex or gender,女
诺,different from,Noe
中国民用航空局,location of formation,北京市
番茄,has fruit type,浆果
压强,calculated from,面积
KDE,mascot,Katie
卡尔·马克思,given name,海因里希
rm,linguistic typology,屈折语
盐田区,contains administrative territorial entity,市保税区（沙头角）
多瑙河,tributary,Schmida
窄轨,topic's main category,Category:Narrow gauge railways
虚电路,subclass of,会话
开放源代码,instance of,社会运动
Fight,genre,敲击金属
Born,instance of,populated place in the Netherlands
日用品,subclass of,商品
声波,subclass of,机械波
基带,does not have quality,调变
王世真,family name,王
蒋方舟,place of birth,襄阳市
匹兹堡,named after,威廉·皮特，第一代查塔姆伯爵
化学性质,opposite of,物理性质
主板,connects with,内存模块
齐鲁工业大学,different from,齐鲁大学
诺,said to be the same as,诺亚
美国国会,subsidiary,美国政府出版局
压强,calculated from,unit normal vector
深圳地铁,has part,深圳地铁2号线
KDE,product or material produced,KDE 应用程序
卡尔·马克思,family name,马克思
rm,writing system,拉丁文字
盐田区,contains administrative territorial entity,市保税区（盐田港）
多瑙河,tributary,Schmiecha
开放源代码,founded by,开放源代码促进会
Fight,record label,史诗唱片
Born,country,荷兰
日用品,topic's main template,Template:Commodity
基带,different from,通带
王世真,place of birth,千叶市
匹兹堡,founded by,美洲原住民
主板,connects with,钮扣电池
齐鲁工业大学,category for alumni of educational institution,Category:齐鲁工业大学校友
中国民用航空局,headquarters location,东城区
番茄,award received,Vegetable of the year
美国国会,subsidiary,国会合规办公室
压强,described by source,亚美尼亚苏维埃百科全书
深圳地铁,has part,深圳地铁3号线
卡尔·马克思,place of birth,特里尔
rm,UNESCO language status,3 危险
盐田区,located in time zone,东八区
多瑙河,tributary,Schwarzach
开放源代码,founded by,布鲁斯·斐伦斯
Born,located in the administrative territorial entity,锡塔德-格林
日用品,topic's main category,Category:Commodities
基带,different from,中频信号
王世真,place of death,北京市
匹兹堡,founded by,John Forbes
主板,has quality,motherboard form factor
刘嘉玲,given name,卡莉娜
中国民用航空局,topic's main category,Category:中国民用航空局
女生,said to be the same as,Girl (comics)
番茄,topic's main category,Category:Solanum lycopersicum
美国国会,owner of,美国国会大厦
压强,described by source,ISO 80000-4:2006: Quantities and units—Part 4: Mechanics
读者文摘,owner of,11 Westferry Circus
深圳地铁,has part,深圳地铁4号线
KDE,different from,KDE Plasma Workspaces
卡尔·马克思,place of death,伦敦
rm,Ethnologue language status,2 Provincial
盐田区,topic's main category,Category:盐田区
多瑙河,tributary,Stehbach
开放源代码,founded by,提姆·奥莱理
Fight,has part,罗伯·哈尔富德
基带,different from,射频
主板,has part,芯片组
刘嘉玲,family name,刘
美国国会,headquarters location,美国国会大厦
压强,described by source,ISO 80000-4:2019: Quantities and units - Part 4: Mechanics
读者文摘,topic's main category,Category:Reader's Digest
深圳地铁,has part,深圳地铁5号线
KDE,topic's main category,Category:KDE
卡尔·马克思,manner of death,自然死亡
rm,indigenous to,格劳宾登州
多瑙河,tributary,奥戈斯塔河
开放源代码,named by,克里斯蒂娜·彼得森
Born,located in time zone,UTC+01:00
王世真,member of,中国科学院生命科学和医学学部
匹兹堡,capital of,阿利根尼县
主板,has part,中央处理器插座
刘嘉玲,place of birth,苏州市
美国国会,replaces,邦联国会
压强,recommended unit of measurement,帕斯卡
深圳地铁,has part,深圳地铁7号线
卡尔·马克思,cause of death,lung disease
rm,topic's main category,Category:罗曼什语
多瑙河,tributary,Rötelbach
开放源代码,opposite of,闭源软体
Born,coat of arms,coat of arms of Born
匹兹堡,located in the administrative territorial entity,阿利根尼县
主板,has part,expansion slot
刘嘉玲,spouse,梁朝伟
神经科学,practiced by,神经学家
美国国会,history of topic,美国国会史
压强,recommended unit of measurement,newton per square metre
深圳地铁,has part,深圳地铁9号线
卡尔·马克思,place of burial,海格特公墓
rm,related category,Category:Romansh pronunciation
多瑙河,tributary,Camenița River
开放源代码,partially coincident with,开放知识
王世真,educated at,多伦多大学
匹兹堡,located in or next to body of water,俄亥俄河
主板,has part,总线
神经科学,studies,脑
美国国会,described by source,格拉纳特百科词典
压强,different from,应力
深圳地铁,has part,深圳地铁11号线
卡尔·马克思,father,海因里希·马克思
多瑙河,tributary,Ursentalbach
开放源代码,different from,开源软件
王世真,educated at,艾奥瓦大学
匹兹堡,located in or next to body of water,阿勒格尼河
主板,has part,电压调节模组
刘嘉玲,occupation,电影演员
神经科学,history of topic,神经科学史
美国国会,has part,美国众议院
压强,topic's main category,Category:压力
深圳地铁,has part,深圳地铁6号线
卡尔·马克思,mother,亨丽埃塔·普莱斯堡
多瑙河,tributary,Ussel
开放源代码,topic's main category,Category:开放源代码
王世真,educated at,燕京大学
匹兹堡,located in or next to body of water,莫农加希拉河
主板,has part,电子连接器
刘嘉玲,educated at,苏浙公学
美国国会,has part,美国参议院
深圳地铁,has part,深圳地铁8号线
卡尔·马克思,sibling,Emilie Conradi
多瑙河,tributary,Wulfbach
匹兹堡,office held by head of government,Mayor of Pittsburgh
刘嘉玲,residence,容县
神经科学,has part,认知神经科学
美国国会,topic's main template,Template:美国国会
深圳地铁,has part,深圳地铁10号线
卡尔·马克思,sibling,Louise Juta
多瑙河,tributary,Bolečica
匹兹堡,office held by head of government,Chief Burgess of Pittsburgh
主板,different from,system board
刘嘉玲,instrument,声乐
神经科学,different from,neurology
美国国会,topic's main category,Category:美国政府立法部门
深圳地铁,has part,深圳地铁12号线
卡尔·马克思,sibling,Mauritz David Marx
多瑙河,tributary,洛姆河
匹兹堡,head of government,比尔·彼杜托
主板,topic's main category,Category:主板
刘嘉玲,genre,华语流行音乐
神经科学,topic's main template,Template:神经科学
深圳地铁,has part,深圳地铁13号线
卡尔·马克思,sibling,Sophia Marx
多瑙河,tributary,Mostonga
匹兹堡,head of government,Luke Ravenstahl
刘嘉玲,record label,EMI
神经科学,topic's main category,Category:神经科学
深圳地铁,has part,深圳地铁14号线
卡尔·马克思,spouse,燕妮·马克思
多瑙河,tributary,Jezava
匹兹堡,head of government,Bob O'Connor
神经科学,Wikimedia outline,神经生物学条目目录
深圳地铁,has part,深圳地铁12号线
卡尔·马克思,unmarried partner,燕妮·马克思
多瑙河,tributary,Nadela
匹兹堡,located in time zone,北美东部时区
深圳地铁,has part,深圳地铁20号线
卡尔·马克思,child,爱琳娜·马克思
多瑙河,tributary,Žepa
匹兹堡,twinned administrative body,里耶卡
深圳地铁,has part,深圳有轨电车
卡尔·马克思,child,珍妮·龙格
多瑙河,tributary,Porečka
匹兹堡,twinned administrative body,斯科普里
深圳地铁,topic's main category,Category:深圳地铁
卡尔·马克思,child,娜拉·马克思
多瑙河,tributary,Ribiș River
匹兹堡,twinned administrative body,费尔南多德拉莫拉
深圳地铁,category for maps,Category:Maps of Shenzhen Metro
卡尔·马克思,child,Edgar Marx
多瑙河,tributary,Crușovița River
匹兹堡,twinned administrative body,顿涅茨克
卡尔·马克思,child,Frederick Demuth
多瑙河,tributary,Oravița River
匹兹堡,twinned administrative body,萨格勒布
卡尔·马克思,child,Heinrich Edward Guy Marx
多瑙河,tributary,Elișeva River
匹兹堡,twinned administrative body,俄斯特拉发
卡尔·马克思,child,Jenny Evelin Francis Marx
多瑙河,tributary,Pârâul Țiganilor
匹兹堡,twinned administrative body,普雷绍夫
卡尔·马克思,relative,路德维希·冯·威斯伐伦
多瑙河,tributary,Boșneag River
匹兹堡,twinned administrative body,马坦萨斯
多瑙河,tributary,Caonița River
匹兹堡,twinned administrative body,索菲亚
多瑙河,tributary,Sicolovăț River
匹兹堡,twinned administrative body,谢菲尔德
多瑙河,tributary,Aiorman River
匹兹堡,twinned administrative body,埼玉市
多瑙河,tributary,Vodița River
匹兹堡,twinned administrative body,毕尔巴鄂
卡尔·马克思,occupation,新闻工作者
多瑙河,tributary,Sușcava River
匹兹堡,twinned administrative body,武汉市
卡尔·马克思,occupation,历史学家
多瑙河,tributary,Tișovița River
匹兹堡,twinned administrative body,新库兹涅茨克
多瑙河,tributary,Stariște River
匹兹堡,twinned administrative body,伊索拉德莱费姆米内
卡尔·马克思,occupation,社会学者
多瑙河,tributary,Blahnița River
匹兹堡,twinned administrative body,卡梅尔
卡尔·马克思,occupation,革命家
多瑙河,tributary,Dudaș River
匹兹堡,twinned administrative body,哈密尔顿
卡尔·马克思,occupation,诗人
多瑙河,tributary,Plavișevița River
匹兹堡,twinned administrative body,努尔-苏丹
卡尔·马克思,occupation,政治人物
多瑙河,tributary,Topolnița River
匹兹堡,twinned administrative body,沙勒罗瓦
多瑙河,tributary,Călmățui River
匹兹堡,twinned administrative body,岘港市
多瑙河,tributary,Recița River
匹兹堡,significant event,皮特堡之围
卡尔·马克思,field of work,社会学
多瑙河,tributary,Țibrin River
匹兹堡,flag,flag of Pittsburgh
多瑙河,tributary,Costinețiu River
匹兹堡,history of topic,History of Pittsburgh
卡尔·马克思,field of work,经济
多瑙河,tributary,Valea Mare River
匹兹堡,described by source,Ottův slovník naučný
卡尔·马克思,employer,新莱茵报
多瑙河,tributary,Desnățui River
匹兹堡,topic's main Wikimedia portal,Portal:Pittsburgh
卡尔·马克思,employer,莱茵报
多瑙河,tributary,Bistrița River
匹兹堡,topic's main category,Category:匹兹堡
卡尔·马克思,member of,第一国际
多瑙河,tributary,Alibeg River
匹兹堡,category of associated people,Category:匹兹堡人
卡尔·马克思,member of,共济会会所
多瑙河,tributary,Almălău River
匹兹堡,category for people born here,Category:Births in Pittsburgh
卡尔·马克思,educated at,波恩大学
多瑙河,tributary,Bahna River
匹兹堡,category for people who died here,Category:Deaths in Pittsburgh
卡尔·马克思,educated at,耶拿大学
多瑙河,tributary,Baronul River
匹兹堡,category of people buried here,Category:Burials in Pittsburgh
卡尔·马克思,educated at,柏林洪堡大学
多瑙河,tributary,Begena River
匹兹堡,category for films shot at this location,Category:Films shot in Pittsburgh Pennsylvania
卡尔·马克思,educated at,Gimnasium Real Frederick William III
多瑙河,tributary,Berza River
匹兹堡,category for maps,Category:Maps of Pittsburgh
卡尔·马克思,academic degree,哲学博士
多瑙河,tributary,Berzasca River
卡尔·马克思,doctoral advisor,布鲁诺·鲍威尔
多瑙河,tributary,Budovar
卡尔·马克思,student of,弗里德里希·威尔克
多瑙河,tributary,Calachioi River
卡尔·马克思,residence,伦敦
多瑙河,tributary,Canaraua Fetei River
卡尔·马克思,residence,特里尔
多瑙河,tributary,Canlia River
多瑙河,tributary,Celei River
多瑙河,tributary,Cerna River
卡尔·马克思,residence,布鲁塞尔市
多瑙河,tributary,Chichirgeaua River
钟表馆幽灵,instance of,讲谈社Novels
傅菁,instance of,人类
祖安,instance of,人类
迪丽热巴,instance of,人类
吕洞宾,instance of,人类
布里恩茨湖,instance of,湖泊
喷气式飞机,instance of,aircraft power class
多瑙河,tributary,Ciuceavca River
钟表馆幽灵,instance of,文学作品
迪丽热巴,sex or gender,女
亚纯函数,described by source,亚美尼亚苏维埃百科全书
吕洞宾,instance of,可能虚构人物
布里恩茨湖,instance of,瑞士境内不属于自治市一部分的地区
喷气式飞机,subclass of,马达飞行器
卡尔·马克思,ethnic group,阿什肯纳兹犹太人
多瑙河,tributary,Cozla River
Walker,instance of,人类
愚人节,instance of,周期事件
卢卡斯·波多尔斯基,instance of,人类
高雨儿,instance of,人类
何杰,instance of,人类
火影,instance of,维基媒体消歧义页
北极圈,instance of,极圈
video,instance of,电子传媒
钟表馆幽灵,genre,推理作品
傅菁,sex or gender,女
迪丽热巴,country of citizenship,中华民国
亚纯函数,topic's main category,Category:亚纯函数
吕洞宾,instance of,神
布里恩茨湖,tributary,吕奇纳河
卡尔·马克思,ethnic group,德意志人
多瑙河,tributary,Drincea River
愚人节,instance of,annual commemoration
高雨儿,sex or gender,女
何杰,family name,何
video,subclass of,电子传媒
钟表馆幽灵,genre,神秘作品
祖安,occupation,漫画家
迪丽热巴,place of birth,乌鲁木齐
布里恩茨湖,tributary,吉斯巴赫瀑布
喷气式飞机,topic's main category,Category:Jet aircraft
卡尔·马克思,contributed to creative work,德法年鑑
多瑙河,tributary,Dunărea River
高等教育,instance of,学年
孙坚,instance of,人类
未来主义,instance of,艺术运动
河南理工大学,instance of,学术机构
日记,instance of,文类
G5,instance of,维基媒体消歧义页
Walker,country of citizenship,大不列颠及爱尔兰联合王国
愚人节,culture,西方文化
video,subclass of,moving image
钟表馆幽灵,author,绫辻行人
傅菁,family name,傅
迪丽热巴,occupation,演员
布里恩茨湖,inflows,阿勒河
卡尔·马克思,contributed to creative work,莱茵报
多瑙河,tributary,Dâlboca River
未来主义,instance of,文学流派
日记,subclass of,personal testimonial
CSS3,subclass of,蛋白质编码基因
高雨儿,family name,高
北极圈,country,芬兰
video,subclass of,视听作品
钟表馆幽灵,publisher,讲谈社
傅菁,place of birth,邵阳市
迪丽热巴,occupation,模特儿
吕洞宾,country of citizenship,唐朝
布里恩茨湖,inflows,吕奇纳河
卡尔·马克思,notable work,1844年哲学和经济学手稿
多瑙河,tributary,Galița River
基因,subclass of,核酸序列
龙华区,instance of,中国的区
白凯南,instance of,人类
淘宝网,instance of,网站
津南区,instance of,中国的区
中国好声音,instance of,电视节目系列
